,Position,Rider,Born,Team,Total time,FC points,race
0,01,Esteban Chaves,1990,Team BikeExchange,04:29:47,50,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
1,02,Michael Woods,1986,Israel Start-Up Nation,+ 07,20,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
2,03,Geraint Thomas,1986,INEOS Grenadiers,+ 07,8,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
3,04,Adam Yates,1992,INEOS Grenadiers,+ 07,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
4,05,Sepp Kuss,1994,Jumbo-Visma,+ 07,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
5,06,Alejandro Valverde,1980,Movistar Team,+ 07,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
6,07,Richie Porte,1985,INEOS Grenadiers,+ 07,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
7,08,Wilco Kelderman,1991,BORA-hansgrohe,+ 07,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
8,09,Nairo Quintana,1990,Arkéa-Samsic,+ 07,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
9,10,Lucas Hamilton,1996,Team BikeExchange,+ 07,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
10,11,Hugh Carthy,1994,EF Education-NIPPO,+ 13,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
11,12,Simon Yates,1992,Team BikeExchange,+ 18,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
12,13,Joao Almeida,1998,Deceuninck-Quick Step,+ 25,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
13,14,Giulio Ciccone,1994,Trek-Segafredo,+ 31,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
14,15,Harm Vanhoucke,1997,Lotto Soudal,+ 31,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
15,16,Mikel Bizkarra,1989,Euskaltel-Euskadi,+ 51,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
16,17,Fausto Masnada,1993,Deceuninck-Quick Step,+ 54,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
17,18,Brandon McNulty,1998,UAE Team Emirates,+ 01:02,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
18,19,Enric Mas,1995,Movistar Team,+ 01:34,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
19,20,Santiago Buitrago,1999,Bahrain Victorious,+ 02:03,,Volta Catalunya - 2021 stage 04 : Ripoll - Port Ainé
