Bardet, Romain  
Bidard, François  
Bouchard, Geoffrey  
Champoussin, Clément  
Chevrier, Clément  
Chérel, Mikaël  
Cosnefroy, Benoit  
Dillier, Silvan  
Domont, Axel  
Duval, Julien  
Frank, Mathias  
Gallopin, Tony  
Gastauer, Ben  
Geniez, Alexandre  
Godon, Dorian  
Gougeard, Alexis  
Hänninen, Jaakko  
Jauregui, Quentin  
Jullien, Anthony  
Latour, Pierre  
Naesen, Lawrence  
Naesen, Oliver  
Paret-Peintre, Aurélien  
Peters, Nans  
Raugel, Antoine  
Tanfield, Harry  
Vandenbergh, Stijn  
Vendrame, Andrea  
Venturini, Clément  
Verger, Simon  
Vuillermoz, Alexis  
Warbasse, Lawrence  
Aranburu, Alex  
Bizhigitov, Zhandos  
Boaro, Manuele  
Bohorquez, Hernando  
Contreras, Rodrigo  
De Vreese, Laurens 
Felline, Fabio  
Fominykh, Danill  
Fraile, Omar  
Fuglsang, Jakob  
Gidich, Yevgeniy  
Gregaard, Jonas  
Gruzdev, Dmitriy  
Houle, Hugo  
Izagirre, Gorka  
Izagirre, Ion  
Kudus, Merhawi  
Lopez, Miguel Angel 
Lutsenko, Alexey  
Martinelli, Davide  
Natarov, Yuriy  
Pronskiy, Vadim  
Rodriguez, Oscar  
Stalnov, Nikita  
Sánchez, Luis León 
Tejada, Harold  
Vlasov, Aleksander  
Zakharov, Artyom  
Arashiro, Yukiya  
Battaglin, Enrico  
Bauhaus, Phil  
Bilbao, Pello  
Bole, Grega  
Buitrago, Santiago  
Capecchi, Eros  
Caruso, Damiano  
Cavendish, Mark  
Colbrelli, Sonny  
Davies, Scott  
Feng, Chun Kai 
Garcia, Ivan  
Haller, Marco  
Haussler, Heinrich  
Inkelaar, Kevin  
Landa, Mikel  
Mohoric, Matej  
Novak, Domen  
Padun, Mark  
Pernsteiner, Hermann  
Pibernik, Luka  
Poels, Wout  
Sieberg, Marcel  
Teuns, Dylan  
Tratnik, Jan  
Valls, Rafael  
Williams, Stephen  
Wright, Fred  
Ackermann, Pascal  
Baska, Erik  
Benedetti, Cesare  
Bodnar, Maciej  
Buchmann, Emanuel  
Burghardt, Marcus  
Drucker, Jempy  
Fabbro, Matteo  
Gamper, Patrick  
Gatto, Oscar  
Großschartner, Felix  
Konrad, Patrick  
Kämna, Lennard  
Laas, Martin  
Majka, Rafal  
McCarthy, Jay  
Muhlberger, Gregor  
Oss, Daniel  
Poljanski, Pawel  
Pöstlberger, Lukas  
Sagan, Juraj  
Sagan, Peter  
Schachmann, Maximilian  
Schelling, Ide  
Schillinger, Andreas  
Schwarzmann, Michael  
Selig, Rüdiger  
Barta, William  
Bevin, Patrick  
De La Parte, Victor
De Marchi, Alessandro 
Geschke, Simon  
Gradek, Kamil  
Hirt, Jan  
Koch, Jonas  
Kochetkov, Pavel  
Malecki, Kamil  
Mareczko, Jakub  
Masnada, Fausto  
Paluta, Michal  
Pauwels, Serge  
Rosskopf, Joey  
Sajnok, Szymon  
Schär, Michael  
Trentin, Matteo  
Valter, Attila  
Van Avermaet, Greg 
Van Hoecke, Gijs 
Van Hooydonck, Nathan 
Van Keirsbulck, Guillaume 
Ventoso, Francisco  
Wisniowski, Lukasz  
Zakarin, Ilnur  
Zimmerman, Georg  
Černý, Josef  
Allegaert, Piet  
Barceló, Fernando  
Berhane, Natnael  
Claeys, Dimitri  
Consonni, Simone  
Edet, Nicolas  
Finé, Eddy  
Haas, Nathan  
Hansen, Jesper  
Herrada, Jesus  
Herrada, Jose  
Lafay, Victor  
Laporte, Christophe  
Le Turnier, Mathias 
Lemoine, Cyril  
Martin, Guillaume  
Mate, Luis Angel 
Mathis, Marco  
Morin, Emmanuel  
Perez, Anthony  
Prodhomme, Nicolas  
Périchon, Pierre-Luc  
Rossetto, Stéphane  
Sabatini, Fabio  
Touzé, Damien  
Vanbilsen, Kenneth  
Vermote, Julien  
Viviani, Attilio  
Viviani, Elia  
Zanoncello, Enrico  
Alaphilippe, Julian  
Almeida, Joao  
Archbold, Shane  
Asgreen, Kasper  
Bagioli, Andrea  
Ballerini, Davide  
Bennett, Sam  
Cattaneo, Mattia  
Cavagna, Remi  
Declercq, Tim  
Devenyns, Dries  
Evenepoel, Remco  
Garrison, Ian  
Hodeg, Alvaro  
Honore, Mikkel  
Jakobsen, Fabio  
Jungels, Bob  
Keisse, Iljo  
Knox, James  
Lampaert, Yves  
Masnada, Fausto  
Mørkøv, Michael  
Quinn, Sean  
Serry, Pieter  
Steels, Stijn  
Steimle, Jannik  
Stybar, Zdenek  
Sénéchal, Florian  
Van Lerberghe, Bert 
Vansevenant, Mauri  
Bennett, Sean  
Bettiol, Alberto  
Bissegger, Stefan  
Caicedo, Jonathan  
Carthy, Hugh  
Clarke, Simon  
Cort, Magnus  
Craddock, Lawson  
Docker, Mitchell  
Guerreiro, Ruben  
Halvorsen, Kristoffer  
Higuita, Sergio  
Hofland, Moreno  
Howes, Alex  
Kangert, Tanel  
Keukeleire, Jens  
Langeveld, Sebastian  
Martinez, Daniel  
Morton, Lachlan  
Owen, Logan  
Powless, Neilson  
Rutsch, Jonas  
Scully, Thomas  
Uran, Rigoberto  
Van Den Berg, Julius
Van Garderen, Tejay 
Vanmarcke, Sep  
Villalobos, Luis  
Whelan, James  
Woods, Michael  
Armirail, Bruno  
Bonnet, William  
Brunel, Alexys  
Delage, Mickaël  
Duchesne, Antoine  
Démare, Arnaud  
Frankiny, Kilian  
Gaudu, David  
Geniets, Kevin  
Guarnieri, Jacopo  
Guglielmi, Simon  
Konovalovas, Ignatas  
Küng, Stefan  
Ladagnous, Matthieu  
Le Gac, Olivier 
Lienhard, Fabian  
Ludvigsson, Tobias  
Madouas, Valentin  
Molard, Rudy  
Pinot, Thibaut  
Reichenbach, Sebastien  
Roux, Anthony  
Sarreau, Marc  
Scotson, Miles  
Seigle, Romain  
Sinkeldam, Ramon  
Thomas, Benjamin  
Vincent, Léo  
Amador, Andrey  
Basso, Leonardo  
Bernal, Egan  
Carapaz, Richard  
Castroviejo, Jonathan  
Dennis, Rohan  
Doull, Owain  
Dunbar, Edward  
Froome, Chris  
Ganna, Filippo  
Geoghegan Hart, Tao 
Golas, Michal  
Hayter, Ethan  
Henao, Sebastian  
Knees, Christian  
Kwiatkowski, Michal  
Lawless, Christopher  
Moscon, Gianni  
Narvaez, Jhonnatan  
Puccio, Salvatore  
Rivera, Brandon  
Rodriguez, Carlos  
Rowe, Luke  
Sivakov, Pavel  
Sosa, Ivan  
Stannard, Ian  
Swift, Ben  
Thomas, Geraint  
Van Baarle, Dylan 
Wurf, Cameron  
Badilatti, Matteo  
Barbier, Rudy  
Biermans, Jenthe  
Boivin, Guillaume  
Brändle, Matthias  
Cataford, Alexander  
Cimolai, Davide  
Dowsett, Alex  
Einhorn, Itamar  
Goldstein, Omer  
Greipel, André  
Hermans, Ben  
Hofstetter, Hugo  
Hollenstein, Reto  
Martin, Daniel  
McCabe, Travis  
Navarro, Daniel  
Neilands, Krists  
Niv, Guy  
Piccoli, James  
Politt, Nils  
Renard, Alexis  
Räim, Mihkel  
Sagiv, Guy  
Schelling, Patrick  
Sutherland, Rory  
Vahtra, Norman  
Van Asbroeck, Tom 
Würtz Schmidt, Mads 
Zabel, Rick  
Armee, Sander  
Cras, Steff  
De Buyst, Jasper 
De Gendt, Thomas 
Degenkolb, John  
Dewulf, Stan  
Dibben, Jonathan  
Ewan, Caleb  
Frison, Frederik  
Gilbert, Philippe  
Goossens, Kobe  
Hagen, Carl Fredrik 
Hansen, Adam  
Holmes, Matthew  
Iversen, Rasmus  
Kluge, Roger  
Maes, Nikolas  
Marczynski, Tomasz  
Mertz, Remy  
Oldani, Stefano  
Thijssen, Gerben  
Van der Sande, Tosh
Van Goethem, Brian 
Van Moer, Brent 
Vanhoucke, Harm  
Vermeersch, Florian  
Wallays, Jelle  
Wellens, Tim  
Affini, Edoardo  
Albasini, Michael  
Bauer, Jack  
Bewley, Sam  
Bookwalter, Brent  
Chaves, Esteban  
Durbridge, Luke  
Edmondson, Alex  
Grmay, Tsgabu  
Groves, Kaden  
Haig, Jack  
Hamilton, Lucas  
Hepburn, Michael  
Howson, Damien  
Impey, Daryl  
Juul Jensen, Christopher 
Konychev, Alexander  
Meyer, Cameron  
Mezgec, Luka  
Nieve, Mikel  
Peak, Barnabas  
Schultz, Nicholas  
Scotson, Callum  
Smith, Dion  
Stannard, Robert  
Yates, Adam  
Yates, Simon  
Zeits, Andrey  
Alba, Juan Diego 
Arcas, Jorge  
Betancur, Carlos  
Carretero, Hector  
Cataldo, Dario  
Cullaigh, Gabriel  
Elosegui, Inigo  
Erviti, Imanol  
Hollmann, Juri  
Jacobs, Johan  
Jorgenson, Matteo  
Mas, Enric  
Mas, Lluis  
Mora, Sebastian  
Norsgaard, Mathias  
Oliveira, Nelson  
Pedrero, Antonio  
Prades, Eduard  
Roelandts, Jurgen  
Rojas, José Joaquin 
Rubio, Einer  
Samitier, Sergio  
Sepulveda, Eduardo  
Soler, Marc  
Torres, Albert  
Valverde, Alejandro  
Verona, Carlos  
Villella, Davide  
Barbero, Carlos  
Battistella, Samuele  
Boasson Hagen, Edvald 
Campenaerts, Victor  
Carbel, Michael  
De Bod, Stefan 
Dlamini, Nicholas  
Dyball, Benjamin  
Gasparotto, Enrico  
Gebreigzabhier, Amanuel  
Gibbons, Ryan  
Gogl, Michael  
Iribe, Shotaro  
Janse Van Rensburg, Reinardt
King, Benjamin  
Kreuziger, Roman  
Meintjes, Louis  
Mäder, Gino  
Nizzolo, Giacomo  
O'Connor, Ben  
